trait,model,fold,n_train,n_test,pearson_r,rmse,mae,r2,best_params,best_inner_r2
blumeria_graminis,ridge,1,888,222,0.43889031596477024,1.7191183601581521,0.7440816945763404,-1.0830208310902885,"{""model__alpha"": 1.0}",0.5135079258424521
blumeria_graminis,ridge,2,888,222,0.6997755340086178,0.8263138551610755,0.6608405623649103,0.48633058824139586,"{""model__alpha"": 100.0}",0.503529240387017
blumeria_graminis,ridge,3,888,222,0.7269779652020361,0.8396006553407814,0.6432504831579283,0.5125301610015406,"{""model__alpha"": 100.0}",0.4924622327235551
blumeria_graminis,ridge,4,888,222,0.7460804391325039,0.7516045631941816,0.6053555179246612,0.5460386691372088,"{""model__alpha"": 100.0}",0.4893842019302375
blumeria_graminis,ridge,5,888,222,0.6940587892369924,0.8288870313460164,0.6493598055601641,0.47858108018957435,"{""model__alpha"": 100.0}",0.5157567219977763
heading_date,ridge,1,888,222,0.7801851324722884,19.62415902896164,13.866201485856125,0.6013043958711801,"{""model__alpha"": 10.0}",0.5350323822221804
heading_date,ridge,2,888,222,0.7446378650424046,21.179381112691107,16.18811188470135,0.5475565162329814,"{""model__alpha"": 100.0}",0.5642743393442667
heading_date,ridge,3,888,222,0.7372789053835016,21.53991652408858,16.05694895274149,0.5425644999048702,"{""model__alpha"": 100.0}",0.5569417829311349
heading_date,ridge,4,888,222,0.7279876440152797,22.41126787882553,16.520061112006825,0.5085671802629506,"{""model__alpha"": 100.0}",0.5663567761902817
heading_date,ridge,5,888,222,0.7776957067166272,20.036134618481046,14.405240062941855,0.6022221391568404,"{""model__alpha"": 10.0}",0.544067299433851
lodging,ridge,1,888,222,0.8065704852178222,1.016955985386424,0.6455985619147638,0.6379605100367665,"{""model__alpha"": 10.0}",0.7139370298137239
lodging,ridge,2,888,222,0.7770257157112108,0.9783881854354931,0.653949802436043,0.5924945689497443,"{""model__alpha"": 10.0}",0.6996615262513902
lodging,ridge,3,888,222,0.853722076700123,0.8302864219119793,0.6472968446378596,0.7264215889705248,"{""model__alpha"": 100.0}",0.7157450880972739
lodging,ridge,4,888,222,0.8480680344274203,0.8492746157922525,0.6637886317013575,0.7159097717335319,"{""model__alpha"": 100.0}",0.7134052460036865
lodging,ridge,5,888,222,0.8474148431415662,0.7998977925073152,0.6336518747690797,0.7129921974712088,"{""model__alpha"": 100.0}",0.7100420548964226
plant_height,ridge,1,888,222,0.7607575247295253,9.256743486706377,6.7454085899649945,0.5665202954843422,"{""model__alpha"": 10.0}",0.5529885078287488
plant_height,ridge,2,888,222,0.7603937657598141,8.995729657029502,7.0436403033808,0.5725924455753839,"{""model__alpha"": 100.0}",0.5568423495916554
plant_height,ridge,3,888,222,0.7880555524379786,8.799916839050118,6.800496858165382,0.6159084814725917,"{""model__alpha"": 100.0}",0.5495072061217297
plant_height,ridge,4,888,222,0.7507556801069464,9.685307278114522,7.163989728078871,0.5435993751253847,"{""model__alpha"": 100.0}",0.5613239577428228
plant_height,ridge,5,888,222,0.7191874263457614,10.324786893139247,7.510786078632351,0.5167293561373242,"{""model__alpha"": 10.0}",0.5732495019598974
puccinia_hordei,ridge,1,888,222,0.6416251174548521,0.8852832112389922,0.6926776511935419,0.41019124409894414,"{""model__alpha"": 100.0}",0.4124712745594283
puccinia_hordei,ridge,2,888,222,0.6057362434114619,0.9315855698672698,0.6963432434657518,0.3667224206862242,"{""model__alpha"": 100.0}",0.3983459126243704
puccinia_hordei,ridge,3,888,222,0.6560257889098013,0.9351911644009329,0.7380077675590585,0.4284246200274059,"{""model__alpha"": 100.0}",0.403809332712778
puccinia_hordei,ridge,4,888,222,0.6368488320126757,0.9397743795393322,0.7571987468292347,0.3814406502199188,"{""model__alpha"": 100.0}",0.42299872029683155
puccinia_hordei,ridge,5,888,222,0.6397726435520221,0.9114297232802654,0.7167791080947402,0.39445116353345655,"{""model__alpha"": 100.0}",0.4151101617272448
ramularia_collo_cygni,ridge,1,888,222,0.29649588850773767,1.1118417933939269,0.8565755495938727,0.05333847233462241,"{""model__alpha"": 100.0}",0.13162545404126913
ramularia_collo_cygni,ridge,2,888,222,0.31687396255088585,1.1354995766929912,0.8523147097912385,-0.05684206124279001,"{""model__alpha"": 10.0}",0.09754339530259441
ramularia_collo_cygni,ridge,3,888,222,0.3603850277788362,1.0604335052340044,0.8383400374442216,0.1283729643033127,"{""model__alpha"": 100.0}",0.11713176976159452
