representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer
pca20,blumeria_graminis,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.5564634667737411,3.000004163498484e-91,1.05783315452491,0.6605776127168009,0.17402021628597597,13.196190599999682,"{""model__alpha"": 100.0}"
pca20,heading_date,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.751540274747138,2.137441309922895e-202,20.982628167899602,15.407312699649527,0.5639832563590161,1.3564345999984653,"{""model__alpha"": 100.0}"
pca20,lodging,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8231520684424132,1.3495257201280329e-274,0.8991020310856362,0.6488571430918207,0.6773557173381006,1.8596331999942777,"{""model__alpha"": 100.0}"
pca20,plant_height,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7536514468126917,3.676117429917003e-204,9.428206508933467,7.0528643116444805,0.5671841874491361,1.7682921000014176,"{""model__alpha"": 100.0}"
pca20,puccinia_hordei,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6324434941033938,4.78480289188523e-125,0.9208735610253341,0.7202013034284654,0.3997963906833094,1.5865174999998999,"{""model__alpha"": 100.0}"
pca20,ramularia_collo_cygni,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3100626353533289,3.671766075626893e-26,1.077802334042234,0.8282177465237088,0.07558885547950822,1.450822300001164,"{""model__alpha"": 100.0}"
pca20,rhynchosporium,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.21386379467825548,5.991840192432744e-13,0.8943331886028384,0.5570846806717364,0.0452319464443266,1.5040124000006472,"{""model__alpha"": 300.0}"
pca20,blumeria_graminis,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6171768759741976,1.664097728427308e-117,0.9490937599461344,0.6538507155240276,0.33510463592197237,2.8208543000000645,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}"
pca20,heading_date,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7530665278995361,1.1377648182439834e-203,20.92883980080067,15.343688718180704,0.56621582402494,2.623576400001184,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}"
pca20,lodging,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8387979204515535,7.778984529101394e-295,0.8618102242605281,0.6404853923286616,0.7035651221141899,2.4366104999935487,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.5}"
pca20,plant_height,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7554664076854735,1.0815973306141825e-205,9.400181504986763,6.996533965895556,0.5697534220851644,2.6078970999951707,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}"
pca20,puccinia_hordei,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6449865952035013,1.4421674235601845e-131,0.910367698793972,0.7186878360239836,0.41341321582410284,2.6912191999945207,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.3}"
pca20,ramularia_collo_cygni,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.35750544386390637,8.35932300729943e-35,1.0476704792448008,0.8187642553420006,0.12655342419455795,2.5274955999993836,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.3}"
pca20,rhynchosporium,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.20942904200458662,1.8161870347993206e-12,0.8954144193921717,0.5595290316162577,0.04292196027997308,2.4157556999998633,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}"
pca20,blumeria_graminis,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7142553780819896,6.531761842715894e-174,0.8160312639935893,0.6294792647146943,0.5084715450047643,22.113171500001044,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}"
pca20,heading_date,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7862197770934484,7.206544481159383e-234,19.63793629168321,12.71355186848748,0.6180776345626733,24.61277049999626,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}"
pca20,lodging,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8669355306451074,0.0,0.7892568578135121,0.6037926299975298,0.7513761745150503,23.179801499994937,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}"
pca20,plant_height,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7856645658605594,2.554399427357249e-233,8.868678423509593,6.561200305513655,0.61703175765167,21.18280809999851,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}"
pca20,puccinia_hordei,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6814499462820871,2.162863415528384e-152,0.8725979020809009,0.67032806577398,0.46107674610196414,24.189956299996993,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.7}"
pca20,ramularia_collo_cygni,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3182009497067257,1.544981255316889e-27,1.0744521238636329,0.8311302169930792,0.08132675056208005,24.364234799999394,"{""model__colsample_bytree"": 0.1, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}"
pca20,rhynchosporium,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.19048227367562254,1.5768606684959826e-10,0.9187019304336602,0.5531263167488524,-0.007507857052361011,26.154988299997058,"{""model__colsample_bytree"": 0.1, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}"
