trait,fold,learning_rate,batch_size,pearson_r,r2,rmse,mae,best_epoch,best_val_loss
blumeria_graminis,1,0.001,32,0.7484949810739615,0.5434761945048349,0.8048050329682677,0.6577344311250223,104,0.6430756449699402
blumeria_graminis,2,0.001,32,0.7285497936426433,0.528478167431395,0.7916880412217047,0.624168092603082,163,0.6365088224411011
blumeria_graminis,3,0.001,32,0.7578386718726842,0.5653279402686089,0.7928294243892402,0.6044460690773286,118,0.5704715847969055
blumeria_graminis,4,0.001,32,0.7660331355256536,0.5446924613384165,0.752718176158343,0.5945624526556548,141,0.722522497177124
blumeria_graminis,5,0.001,32,0.7116685057973565,0.4955096700469359,0.8153205181121932,0.6333067835988225,28,0.6817662715911865
heading_date,1,0.001,32,0.8397979881578713,0.7031246974153762,16.933914456557368,10.344388669675535,156,359.8104248046875
heading_date,2,0.001,32,0.7748789768600317,0.600030612563319,19.91335674830499,12.107549976658177,105,347.06427001953125
heading_date,3,0.001,32,0.7533661305377566,0.5638743873687344,21.0322085469494,13.01432466936541,84,224.5298309326172
heading_date,4,0.001,32,0.7943200489873534,0.588278096167751,20.513337978952684,11.39388725349495,116,382.0763244628906
heading_date,5,0.0005,32,0.8278417392951556,0.6829313204732275,17.88835104240367,11.055756663416958,190,407.1134033203125
lodging,1,0.001,32,0.8920423819807077,0.7853262770620137,0.7830935103268918,0.6122851739595602,72,0.6203120946884155
lodging,2,0.001,32,0.869135291233357,0.7502245807894197,0.7659833808327114,0.604583981337848,86,0.5974090099334717
lodging,3,0.001,16,0.8910427331361932,0.7844573231053862,0.7369765310294627,0.5445041903504381,60,0.6030883193016052
lodging,4,0.001,16,0.8640642667485436,0.7449065965802626,0.8047659821842947,0.5945413601291072,22,0.6833973526954651
lodging,5,0.001,16,0.8638301316159247,0.7450916710892685,0.7538408376115949,0.5821999206736281,106,0.6545351147651672
plant_height,1,0.0005,32,0.8067151423363016,0.6448245404789177,8.379060296259352,6.206203495060001,250,78.0825424194336
plant_height,2,0.001,32,0.784916436967348,0.5942425160803418,8.764932278287773,6.683797166154191,140,81.85553741455078
plant_height,3,0.0005,32,0.8030674155094242,0.6379513320112318,8.543674219587551,6.701361441397452,163,66.54003143310547
plant_height,4,0.001,32,0.7916174130606177,0.5342737690743473,9.783756534601388,7.015405019124349,152,87.55674743652344
plant_height,5,0.001,32,0.7681390693235638,0.5726489308097957,9.70908443124073,6.9958061699394705,144,77.0946044921875
puccinia_hordei,1,0.001,32,0.7011540123305262,0.48878578161874764,0.8241914097452232,0.6326109321267755,103,0.7427886724472046
puccinia_hordei,2,0.001,32,0.7908367849895943,0.5978915207162743,0.7423305048594513,0.5932919646168614,87,0.7947590947151184
puccinia_hordei,3,0.0005,32,0.6957090464512788,0.47191842438389153,0.8989057195351632,0.6721972586872341,36,0.7116947174072266
puccinia_hordei,4,0.001,32,0.6574746542904135,0.29926938342580445,1.000249773074251,0.7688148107614603,48,0.8771354556083679
puccinia_hordei,5,0.0005,32,0.7493846006606247,0.5224817161315573,0.8093634806777956,0.61914178863302,106,0.8387799263000488
ramularia_collo_cygni,1,0.001,16,0.2744179509546917,0.03358708804695787,1.1233808008171706,0.8594298255336177,37,1.1093299388885498
ramularia_collo_cygni,2,0.001,32,0.3380653763161139,0.09184417825615421,1.0525969842811507,0.8475079219620507,20,1.1901549100875854
ramularia_collo_cygni,3,0.001,16,0.3805134856554283,0.1080635908876455,1.0727167144443779,0.8398259099539336,51,1.2096092700958252
ramularia_collo_cygni,4,0.001,16,0.29359528247619704,0.06840404812209444,1.0907043944573198,0.8129325686274348,27,1.0209132432937622
ramularia_collo_cygni,5,0.001,16,0.405317434733641,0.12979261122054797,1.0073647897806661,0.7774490179779293,44,1.4611432552337646
rhynchosporium,1,0.001,32,0.1901712682315468,-0.12944992953677925,0.84455819307884,0.4840721227564253,25,0.848907470703125
rhynchosporium,2,0.001,32,0.2371968931357425,-0.056217398619088144,0.9123429675211301,0.45372756912901596,78,1.0981123447418213
rhynchosporium,3,0.0005,32,0.18456501587111,-0.02013699659625523,1.0393097093825037,0.5662603144710129,81,0.8128563761711121
rhynchosporium,4,0.0005,32,0.06806905270923155,-1.1570745394756008,1.5752720957628172,1.0540123459052395,2,1.7067210674285889
rhynchosporium,5,0.001,32,0.2811526830423414,-0.004344507111963436,0.7329469398889479,0.4062047332256764,66,1.1314524412155151
