trait,pearson_r_mean,pearson_r_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,best_epoch_mean
blumeria_graminis,0.7425170175824598,0.022193529263918994,0.5354968867180382,0.02591505170175613,0.7914722385699497,0.023718503963825924,0.622843565811982,0.024833923509136064,110.8
heading_date,0.7980409767676337,0.03597880930629575,0.6276478227976816,0.06150764273598816,19.25623375463362,1.7628441620849868,11.583181446522207,1.0212431171129055,130.2
lodging,0.8760229609429452,0.01432943522075814,0.7620012897252701,0.02100704095609884,0.7689320483969911,0.026183067946027597,0.5876229252901164,0.026610162317138503,69.2
plant_height,0.790891095439451,0.01543163960960774,0.5967882176909269,0.04609536945614271,9.036101551995358,0.6632523262713681,6.720514658335093,0.3274815772941793,169.8
puccinia_hordei,0.7189118197444875,0.051792916296418766,0.47606936525525506,0.11003626107467372,0.8550081775783769,0.09842698399856702,0.6572113509650703,0.06859312976364075,76.0
ramularia_collo_cygni,0.33838190602721435,0.055571495377251756,0.08633830330667999,0.03706382291437139,1.0693527367561368,0.04332869185048,0.8274290488109932,0.032745398317363554,35.8
rhynchosporium,0.19223098259799445,0.07969974313514766,-0.2734446742679374,0.49631229936747484,1.0208859811268478,0.32919043271847975,0.592855417097474,0.2642923823481098,50.4
