trait,model_name,learning_rate,batch_size,n_folds,pearson_r_mean,pearson_r_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,best_epoch_mean
lodging,mlp_a,0.001,32,5,0.8780765821617343,0.009822199120528913,0.7505052349630376,0.02414207624699536,0.7876427768879293,0.04308587138706569,0.5986211168873418,0.03825353921520344,95.4
lodging,mlp_b,0.001,16,5,0.8734071123316431,0.016774009163053886,0.7573502516351178,0.030930193424947433,0.7757011326783938,0.03981753527841985,0.5858983353451566,0.04053671085226598,131.6
ramularia_collo_cygni,mlp_a,0.001,16,5,0.3669728638151324,0.06874780794852853,0.07392542215972378,0.06071766139137446,1.076592603722606,0.058726820129097974,0.8337035846602809,0.041104255422671494,95.2
ramularia_collo_cygni,mlp_b,0.001,16,5,0.34678166445765657,0.0854229129730601,0.06811183430836407,0.09066532013879651,1.0795348118419263,0.07182042769703866,0.8385574962104763,0.05190358034009865,93.2
