trait,model_name,learning_rate,batch_size,fold,pearson_r,r2,rmse,mae,best_epoch
lodging,mlp_a,0.001,16,1,0.8878215169701789,0.7801893171730232,0.7924075020955782,0.6014180803621137,165
lodging,mlp_a,0.001,16,2,0.8660467868328742,0.7494548284182319,0.7671627682132091,0.6086018332489976,60
lodging,mlp_a,0.001,16,3,0.8805389073520683,0.7661816285157428,0.7675847496321544,0.5697494224385098,30
lodging,mlp_a,0.001,16,4,0.8814599447228644,0.7740113376598368,0.7574663110076297,0.5653497512276108,88
lodging,mlp_a,0.001,16,5,0.863232602028334,0.7418561316601211,0.7586099848388017,0.5888877320397008,93
lodging,mlp_a,0.001,32,1,0.8903597262045471,0.7446608848444984,0.8540491315447114,0.6374861273142669,177
lodging,mlp_a,0.001,32,2,0.8709694679208217,0.755124474441035,0.7584329443118769,0.6019087014971553,49
lodging,mlp_a,0.001,32,3,0.8871315438680021,0.7813646964980145,0.7422448052123232,0.5463539657292066,55
lodging,mlp_a,0.001,32,4,0.8701664825161876,0.7567173466851913,0.785914982369969,0.5758482980298566,37
lodging,mlp_a,0.001,32,5,0.871755690299113,0.7146587723464481,0.7975720210007656,0.6315084918662235,159
lodging,mlp_a,0.0005,16,1,0.8809127063292012,0.7737574028780612,0.8039172908203236,0.6188735508166991,122
lodging,mlp_a,0.0005,16,2,0.8611046841421135,0.7369550170592936,0.7860669018417954,0.621515272973894,62
lodging,mlp_a,0.0005,16,3,0.8870985112966104,0.7049547371069997,0.8622463110528863,0.629104352212167,153
lodging,mlp_a,0.0005,16,4,0.8602920018687279,0.7348258958420517,0.8205131607603875,0.6306643271231437,17
lodging,mlp_a,0.0005,16,5,0.8492288490886555,0.704223250043992,0.8120254932625602,0.6349049508571625,159
lodging,mlp_a,0.0005,32,1,0.8842463945774219,0.653582759099554,0.9947728645382918,0.7382882766358487,290
lodging,mlp_a,0.0005,32,2,0.8598819735137363,0.7034280616120512,0.8346598571156857,0.6372443330180537,122
lodging,mlp_a,0.0005,32,3,0.8818749223490914,0.7644078225436541,0.7704907956651597,0.5720890062349336,33
lodging,mlp_a,0.0005,32,4,0.8839750407374949,0.7601406493794964,0.7803659708348468,0.5753249477695774,93
lodging,mlp_a,0.0005,32,5,0.8634291785561372,0.6003807957892178,0.9438670450312628,0.7574149716544796,222
lodging,mlp_b,0.001,16,1,0.8828362918361069,0.7722765250896692,0.8065440319949824,0.6131898360746401,278
lodging,mlp_b,0.001,16,2,0.847630066984985,0.7083154874923796,0.8277538013105841,0.6386853494085707,24
