trait,pca20_r,pca50_r,snp_r,gblup_r,best_ml_r,delta_bestml_minus_gblup
blumeria_graminis,0.7286600238296017,0.7317775274792232,0.7631784297985205,0.7631784297985205,0.7631784297985205,0.0
heading_date,0.7882798296254394,0.7855202632593901,0.8024063197835223,0.7972507952980223,0.8024063197835223,0.0051555244854999405
lodging,0.8725729694930571,0.8732003826219472,0.8773082887245263,0.8723718291059903,0.8773082887245263,0.004936459618535949
plant_height,0.7935928998807116,0.7957630677865566,0.8157712105074558,0.8157712105074558,0.8157712105074558,0.0
puccinia_hordei,0.7023483306495792,0.7192849302824953,0.7551005779668721,0.7551005779668721,0.7551005779668721,0.0
ramularia_collo_cygni,0.3617207838327954,0.348121688474148,0.3851505379723871,0.3851505379723871,0.3851505379723871,0.0
rhynchosporium,0.2138637946782554,0.2179625199301687,0.2856545604784612,0.2739478058051922,0.2856545604784612,0.011706754673269038
