run_name,trait,representation,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,pca50,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.1900899014273151,1.7215764353798578e-10,0.9029191545133878,0.611969880506765,0.0268116166226093,795.3651468000025,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6766695403001488,1.7252889849728478e-149,0.8585135157783017,0.6644381488686377,0.4559618660366428,165.66431339998962,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,heading_date,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7027383061978627,5.096779452349896e-166,22.84451169580425,13.895181918196116,0.4831706642165162,117.46478509998995,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,lodging,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.807281948341925,5.1487315694750127e-256,0.9390809162527196,0.7091228277958084,0.6480248146860629,125.81820109998807,"{""model__ccp_alpha"": 0.001, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,plant_height,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7133059215222992,3.0229805829717086e-173,10.13974381115392,7.513458536675443,0.4993907030553266,144.46516979997978,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6289976743348548,2.623728444866338e-123,0.928671150382216,0.7206844611745735,0.3895887872553949,134.36545109999133,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.2537597170449932,9.019076068571624e-18,1.1148995485694086,0.8694212039630174,0.0108585250317859,122.31573709999792,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.0873659244973129,0.003579368225288,0.9312703021604842,0.57614830053597,-0.0352629963117721,149.9408342000097,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6788036516425163,8.876275595623305e-151,0.856458871230544,0.6636532636367104,0.4585627974540364,249.8715544999868,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,heading_date,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.677979550131043,2.7998913389803045e-150,23.578720658265848,14.902279972169223,0.4494156375252873,204.19383549998747,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,lodging,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8084048118788874,2.8483640780592055e-257,0.9384098411836888,0.697344660089945,0.6485276837611669,200.35026089998428,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,plant_height,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6903543426812659,6.011093180268164e-158,10.488738595776647,7.910513687229484,0.4643372212649743,222.71762309997573,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6052433261400866,6.8099529388221725e-112,0.9596005008396444,0.7396211218693184,0.3482522715341458,226.1020065000048,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.2141412529367533,5.585655647291372e-13,1.112911021152822,0.8713150914558281,0.0143838306763016,187.9125781999901,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.0710007469302048,0.0179897562506895,0.922472583624028,0.5885467416436441,-0.0157951125421782,219.8587181999756,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7240541723135465,6.096107704500911e-181,0.8029295515140694,0.619454707481207,0.5241282176305819,548.5751344000164,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7882798296254394,6.3706925126075165e-236,19.58046944732811,12.650953185142406,0.6203096165365298,944.8232774999924,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8725729694930571,0.0,0.7737745871963319,0.5951306115154796,0.7610346456390106,950.093090499984,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7935928998807116,2.51314982207208e-241,8.728224173384692,6.530883619506678,0.6290659254177393,713.9215786000132,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6995317096444247,6.874228373242427e-164,0.8494086881614471,0.6556578620929662,0.4893398223661851,710.0268588000035,"{""model__max_depth"": 25, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3461196702291273,1.3674576050808939e-32,1.0557450424350152,0.8180133967798886,0.1130379575490411,768.0995349999866,"{""model__max_depth"": 15, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,pca20,gradient_boosting,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.1864292452556941,3.870726361392892e-10,0.9002536339157288,0.5622229498422954,0.0325490620999631,968.1537111999932,"{""model__learning_rate"": 0.005, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,pca50,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7317775274792232,1.0611997823248258e-186,0.7933169685663618,0.6134363901078733,0.5354541804784856,1117.7758279999834,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,pca50,gradient_boosting,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7855202632593901,3.546946447635745e-233,19.68049548790525,12.670321334226426,0.6164204418961926,2148.5987379,"{""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""model__subsample"": 0.7}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,pca50,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8732003826219472,0.0,0.7729795255956527,0.5909392225545772,0.7615254722202864,828.2316807999741,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,plant_height,pca50,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7957630677865566,1.4025488707634918e-243,8.702831161110172,6.537820704139651,0.6312211019542431,816.7538175000227,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,pca50,gradient_boosting,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7192849302824953,1.7548202910009895e-177,0.8261854707950047,0.6369036593434994,0.5168814637544004,1110.4047198999906,"{""model__learning_rate"": 0.005, ""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500, ""model__subsample"": 0.7}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,pca50,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3298375825073268,1.40058000482752e-29,1.0609656297568506,0.8200397253903149,0.1042443354741208,851.444096399995,"{""model__max_depth"": 15, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,pca50,gradient_boosting,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.1790982253175909,1.868093956081324e-09,0.9038176411544032,0.5689712909431035,0.0248738311422225,1113.4791140000452,"{""model__learning_rate"": 0.005, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,pca20,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7142553780819896,6.531761842715894e-174,0.8160312639935893,0.6294792647146943,0.5084715450047643,22.113171500001044,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,pca20,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7862197770934484,7.206544481159384e-234,19.63793629168321,12.71355186848748,0.6180776345626733,24.61277049999626,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,lodging,pca20,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8669355306451074,0.0,0.7892568578135121,0.6037926299975298,0.7513761745150503,23.179801499994937,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,pca20,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7856645658605594,2.554399427357249e-233,8.868678423509593,6.561200305513655,0.61703175765167,21.18280809999851,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,pca20,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6814499462820871,2.162863415528384e-152,0.8725979020809009,0.67032806577398,0.4610767461019641,24.189956299996997,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,pca20,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3575054438639063,8.35932300729943e-35,1.0476704792448008,0.8187642553420006,0.1265534241945579,2.527495599999384,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.3}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,pca20,ridge,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.2138637946782554,5.991840192432745e-13,0.8943331886028384,0.5570846806717364,0.0452319464443266,1.5040124000006472,"{""model__alpha"": 300.0}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,
