model,n_traits,mean_delta_pearson,mean_delta_r2,mean_delta_rmse,wins_pca50_pearson,wins_pca20_pearson,ties_pearson
ridge,7,0.03968934317830451,0.07381615947982131,-0.20775674541427058,6,1,0
elasticnet,7,0.025102583654917687,0.04596576711711757,-0.19278144504384637,5,2,0
svr_linear,7,0.011452192452811113,0.010784384535716049,-0.23010493009788532,5,2,0
gradient_boosting,7,0.002165453923439412,0.005595593905708486,-0.026533877390579188,5,2,0
random_forest,7,0.0021278531835596764,0.0035578703274294693,0.016683099927742338,5,2,0
xgboost,7,0.0014499200999096731,0.0006384277495948574,0.03235857254266709,4,3,0
adaboost,7,-0.00316421981724106,0.006209221818054508,-0.04910655385603973,4,3,0
svr_rbf,7,-0.007744986917930899,-0.006270164440240564,-0.014225372530676097,3,4,0
decision_tree,7,-0.017741621414091326,-0.012006862042317601,0.15723159028170303,2,5,0
