trait,best_model_pca20,best_model_pca50,best_run_pca20,best_run_pca50,best_pearson_pca20,best_pearson_pca50,best_r2_pca20,best_r2_pca50,best_rmse_pca20,best_rmse_pca50,delta_best_pearson_50_minus_20,delta_best_r2_50_minus_20,delta_best_rmse_50_minus_20,winner_best_pearson
puccinia_hordei,svr_rbf,gradient_boosting,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7023483306495792,0.7192849302824953,0.4910925829907417,0.5168814637544004,0.8479497043873627,0.8261854707950047,0.01693659963291605,0.02578888076365865,-0.021764233592358018,pca50
rhynchosporium,ridge,random_forest,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.2138637946782554,0.2179625199301687,0.0452319464443266,0.0229612946329241,0.8943331886028384,0.9047035457399762,0.004098725251913321,-0.0222706518114025,0.010370357137137853,pca50
blumeria_graminis,svr_rbf,random_forest,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7286600238296017,0.7317775274792232,0.529325074231858,0.5354541804784856,0.7985332364094307,0.7933169685663618,0.003117503649621489,0.006129106246627547,-0.005216267843068945,pca50
plant_height,random_forest,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7935928998807116,0.7957630677865566,0.6290659254177393,0.6312211019542431,8.728224173384692,8.702831161110172,0.0021701679058450107,0.0021551765365037667,-0.025393012274520288,pca50
lodging,random_forest,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.8725729694930571,0.8732003826219472,0.7610346456390106,0.7615254722202864,0.7737745871963319,0.7729795255956527,0.0006274131288901419,0.0004908265812758605,-0.0007950616006791034,pca50
heading_date,random_forest,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7882798296254394,0.7855202632593901,0.6203096165365298,0.6164204418961926,19.58046944732811,19.68049548790525,-0.0027595663660493486,-0.003889174640337223,0.10002604057714137,pca20
ramularia_collo_cygni,svr_rbf,elasticnet,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.3617207838327954,0.348121688474148,0.1282924795408779,0.1209050870153466,1.0466269896979128,1.0510525178421648,-0.013599095358647395,-0.007387392525531319,0.004425528144252011,pca20
