trait,r_73_pca,r2_73_pca,rmse_73_pca,r_72_mlp_a,r2_72_mlp_a,rmse_72_mlp_a,r_gblup,r2_gblup,rmse_gblup,delta_r_73_minus_72,delta_r_73_minus_gblup,delta_r2_73_minus_72,delta_r2_73_minus_gblup,delta_rmse_73_minus_72,delta_rmse_73_minus_gblup
blumeria_graminis,0.7120023955587276,0.4707011238200622,0.8449712329200658,0.7425170175824598,0.5354968867180382,0.7914722385699497,0.7631784297985205,0.5823373942575759,0.7522206688660025,-0.03051462202373223,-0.05117603423979289,-0.064795762897976,-0.11163627043751373,0.05349899435011607,0.09275056405406334
heading_date,0.7742864184041587,0.5936327675700248,20.13690377162692,0.7980409767676337,0.6276478227976816,19.25623375463362,0.7972507952980223,0.6349256175343062,19.19990061560429,-0.023754558363475065,-0.02296437689386366,-0.0340150552276568,-0.0412928499642814,0.8806700169932995,0.9370031560226302
lodging,0.8656903396658222,0.7297744976713327,0.8193614250736493,0.8760229609429452,0.7620012897252701,0.7689320483969911,0.8723718291059903,0.7606243536525659,0.7744385691331145,-0.010332621277122978,-0.006681489440168109,-0.032226792053937414,-0.030849855981233132,0.050429376676658144,0.0449228559405348
plant_height,0.7807272996996275,0.5970624795015479,9.028095958247258,0.790891095439451,0.5967882176909269,9.036101551995358,0.8157712105074558,0.6654130943313126,8.2895698850206,-0.010163795739823511,-0.035043910807828316,0.0002742618106209571,-0.06835061482976468,-0.008005593748100281,0.7385260732266588
puccinia_hordei,0.6756316140934773,0.4269868686079731,0.8960888874702679,0.7189118197444875,0.476069365255255,0.8550081775783769,0.7551005779668721,0.5698892460810736,0.7795443953634316,-0.043280205651010206,-0.07946896387339486,-0.049082496647281926,-0.14290237747310053,0.041080709891891054,0.11654449210683637
ramularia_collo_cygni,0.3044122592797827,0.0692026506164816,1.0791493192799688,0.3383819060272143,0.0863383033066799,1.0693527367561368,0.3851505379723871,0.1467774307659416,1.0354704290635364,-0.03396964674743158,-0.08073827869260436,-0.01713565269019829,-0.07757478014946,0.009796582523831976,0.04367889021643245
rhynchosporium,0.1923654055045085,-0.0274532718025886,0.9126432725702064,0.1922309825979944,-0.2734446742679374,1.0208859811268478,0.2739478058051922,0.0683893954156649,0.8834207988137073,0.00013442290651410893,-0.08158240030068367,0.24599140246534879,-0.09584266721825349,-0.10824270855664142,0.029222473756499112
