trait,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup
blumeria_graminis,0.7286600238296017,0.7293312535338877,0.6766695403001488,0.6788036516425163,0.7240541723135465,0.7317775274792232,0.7142553780819896,0.7275604907832016,0.7486903640637232,0.7631784297985205
heading_date,0.7790985402831716,0.7811289864146505,0.7027383061978627,0.677979550131043,0.7882798296254394,0.7855202632593901,0.7862197770934484,0.7786027302245537,0.8024063197835223,0.7972507952980223
lodging,0.8716079407730642,0.8662731176032064,0.807281948341925,0.8084048118788874,0.8725729694930571,0.8732003826219472,0.8669355306451074,0.8681550432597918,0.8773082887245263,0.8723718291059903
plant_height,0.7903791176010909,0.7891555067592371,0.7133059215222992,0.6903543426812659,0.7935928998807116,0.7957630677865566,0.7856645658605594,0.7889857225807233,0.8106606698220638,0.8157712105074558
puccinia_hordei,0.7023483306495792,0.7070870023091229,0.6289976743348548,0.6052433261400866,0.6995317096444247,0.7192849302824953,0.6814499462820871,0.7046676320863676,0.7341394465828697,0.7551005779668721
ramularia_collo_cygni,0.3617207838327954,0.3073489450246894,0.2537597170449932,0.2141412529367533,0.3461196702291273,0.3298375825073268,0.3575054438639063,0.348121688474148,0.3456882462274929,0.3851505379723871
rhynchosporium,0.1709858783744133,0.1900899014273151,0.0873659244973129,0.0710007469302048,0.2103053618850929,0.2179625199301687,0.2138637946782554,0.2097558292071325,0.2856545604784612,0.2739478058051922
