trait,model,run_pca20,run_pca50,pearson_pca20,pearson_pca50,r2_pca20,r2_pca50,rmse_pca20,rmse_pca50,delta_pearson_50_minus_20,delta_r2_50_minus_20,delta_rmse_50_minus_20,winner_pearson,winner_r2,winner_rmse
blumeria_graminis,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.5564634667737411,0.7222022976150219,0.1740202162859759,0.5204646481973667,1.05783315452491,0.8060143617471274,0.16573883084128072,0.34644443191139085,-0.25181879277778263,pca50,pca50,pca50
blumeria_graminis,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.6171768759741976,0.7275604907832016,0.3351046359219723,0.5259377823142577,0.9490937599461344,0.8014014751422804,0.11038361480900405,0.19083314639228538,-0.147692284803854,pca50,pca50,pca50
blumeria_graminis,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.6327387185382116,0.6604393824924182,0.3526805744828808,0.3977841177949279,0.9364655070895768,0.9032512433584576,0.02770066395420656,0.04510354331204708,-0.03321426373111913,pca50,pca50,pca50
blumeria_graminis,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7240541723135465,0.7317775274792232,0.5241282176305819,0.5354541804784856,0.8029295515140694,0.7933169685663618,0.007723355165676682,0.011325962847903659,-0.009612582947707615,pca50,pca50,pca50
blumeria_graminis,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7135583987116985,0.7161027178381586,0.5053979929289782,0.5096892973859932,0.8185786302032639,0.81501978617225,0.0025443191264601372,0.004291304457014977,-0.003558844031013919,pca50,pca50,pca50
blumeria_graminis,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,0.6766695403001488,0.6788036516425163,0.4559618660366428,0.4585627974540364,0.8585135157783017,0.856458871230544,0.0021341113423675173,0.0026009314173935927,-0.0020546445477577224,pca50,pca50,pca50
blumeria_graminis,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7214742545331185,0.7225178857031189,0.519992755778615,0.52202983634668,0.8064108481988688,0.8046978840023855,0.001043631170000392,0.002037080568064953,-0.0017129641964832576,pca50,pca50,pca50
blumeria_graminis,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.7286600238296017,0.7293312535338877,0.529325074231858,0.5310263491463185,0.7985332364094307,0.79708876345777,0.0006712297042860138,0.0017012749144604822,-0.0014444729516607246,pca50,pca50,pca50
blumeria_graminis,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.7142553780819896,0.7126905788938733,0.5084715450047643,0.5060162388325118,0.8160312639935893,0.8180668640501375,-0.0015647991881162504,-0.002455306172252536,0.002035600056548237,pca20,pca20,pca20
heading_date,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.7460793719773648,0.7710226742580029,0.5304381298592047,0.5802172207800044,21.77482698065668,20.588305802778983,0.024943302280638013,0.049779090920799685,-1.1865211778776974,pca50,pca50,pca50
heading_date,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.751540274747138,0.7723263044448394,0.5639832563590161,0.5939679729499927,20.9826281678996,20.248294402655,0.02078602969770138,0.029984716590976568,-0.7343337652445996,pca50,pca50,pca50
heading_date,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.7530665278995361,0.7721664976234104,0.56621582402494,0.59582909227482,20.92883980080067,20.201835290904157,0.019099969723874288,0.029613268249879976,-0.7270045098965134,pca50,pca50,pca50
heading_date,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7428414656465581,0.7531005854158828,0.53515250713258,0.5519083083485339,21.665242153033976,21.27118803728596,0.010259119769324698,0.01675580121595388,-0.3940541157480162,pca50,pca50,pca50
heading_date,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.7790985402831716,0.7811289864146505,0.5956453473675068,0.6020953451512892,20.206426866510853,20.04461923697692,0.002030446131478847,0.006449997783782302,-0.16180762953393213,pca50,pca50,pca50
heading_date,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7835002847563028,0.7855202632593901,0.613851734432324,0.6164204418961926,19.746282469791527,19.68049548790525,0.0020199785030872164,0.0025687074638686136,-0.06578698188627641,pca50,pca50,pca50
heading_date,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7882798296254394,0.7854585710776255,0.6203096165365298,0.6137688136081796,19.58046944732811,19.748402497601656,-0.0028212585478138985,-0.006540802928350242,0.16793305027354677,pca20,pca20,pca20
heading_date,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.7862197770934484,0.7786027302245537,0.6180776345626733,0.6060913391167213,19.63793629168321,19.94371530055511,-0.007617046868894639,-0.011986295445951978,0.30577900887189813,pca20,pca20,pca20
heading_date,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,0.7027383061978627,0.677979550131043,0.4831706642165162,0.4494156375252873,22.84451169580425,23.578720658265848,-0.024758756066819654,-0.03375502669122893,0.7342089624615973,pca20,pca20,pca20
lodging,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.8387979204515535,0.865532514196902,0.7035651221141899,0.7447274752654545,0.8618102242605281,0.7997403874628296,0.02673459374534848,0.0411623531512646,-0.06206983679769851,pca50,pca50,pca50
lodging,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.8231520684424132,0.8493579945850006,0.6773557173381006,0.7204728335289535,0.8991020310856362,0.8368719334398979,0.026205926142587432,0.0431171161908529,-0.06223009764573839,pca50,pca50,pca50
lodging,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.8685545162823342,0.8716635087967395,0.7543160121085932,0.7597407822326161,0.7845767213563047,0.77586653710282,0.0031089925144053288,0.005424770124022871,-0.008710184253484687,pca50,pca50,pca50
lodging,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.8669355306451074,0.8681550432597918,0.7513761745150503,0.7536391976924317,0.7892568578135121,0.785656660737437,0.0012195126146843371,0.0022630231773813625,-0.0036001970760750623,pca50,pca50,pca50
