trait,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_linear,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3 | decision_tree,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3 | decision_tree,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3 | adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3 | gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3 | adaboost,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3 | gradient_boosting,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3 | elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3 | ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3 | xgboost,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3 | elasticnet,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3 | ridge,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3 | xgboost,53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | elasticnet,53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | ridge,53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | xgboost,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup
blumeria_graminis,0.6327387185382116,0.7286600238296017,0.6604393824924182,0.7293312535338877,0.6766695403001488,0.6788036516425163,0.7135583987116985,0.7214742545331185,0.7240541723135465,0.7161027178381586,0.7225178857031189,0.7317775274792232,0.6171768759741976,0.5564634667737411,0.7142553780819896,0.7275604907832016,0.7222022976150219,0.7126905788938733,0.7354241942765702,0.7483698648875703,0.7486903640637232,0.7631784297985205
heading_date,0.7460793719773648,0.7790985402831716,0.7710226742580029,0.7811289864146505,0.7027383061978627,0.677979550131043,0.7428414656465581,0.7835002847563028,0.7882798296254394,0.7531005854158828,0.7855202632593901,0.7854585710776255,0.7530665278995361,0.751540274747138,0.7862197770934484,0.7721664976234104,0.7723263044448394,0.7786027302245537,0.8005641948500251,0.7952181219434242,0.8024063197835223,0.7972507952980223
lodging,0.8497961786105552,0.8716079407730642,0.8391176353497752,0.8662731176032064,0.807281948341925,0.8084048118788874,0.8537838860014734,0.8685545162823342,0.8725729694930571,0.8544527446735943,0.8716635087967395,0.8732003826219472,0.8387979204515535,0.8231520684424132,0.8669355306451074,0.865532514196902,0.8493579945850006,0.8681550432597918,0.8708687688128822,0.8773082887245263,0.8743518577966986,0.8723718291059903
plant_height,0.7496668855252678,0.7903791176010909,0.7750574765704048,0.7891555067592371,0.7133059215222992,0.6903543426812659,0.747482256464934,0.7887058802869694,0.7935928998807116,0.7472360089336232,0.7934226228195442,0.7957630677865566,0.7554664076854735,0.7536514468126917,0.7856645658605594,0.7779029348862809,0.776182087327852,0.7889857225807233,0.8106606698220638,0.8025876862028078,0.8019804729266251,0.8157712105074558
puccinia_hordei,0.5845248378058352,0.7023483306495792,0.5635545784900253,0.7070870023091229,0.6289976743348548,0.6052433261400866,0.659450162222452,0.6901809405356332,0.6995317096444247,0.6728474636462509,0.7192849302824953,0.7153519339534692,0.6449865952035013,0.6324434941033938,0.6814499462820871,0.6738172590483609,0.6570932152411924,0.7046676320863676,0.7040208118256778,0.7290973304710477,0.7341394465828697,0.7551005779668721
ramularia_collo_cygni,0.2854973555072591,0.3617207838327954,0.3001729249206434,0.3073489450246894,0.2537597170449932,0.2141412529367533,0.2927445291344502,0.3343283251404014,0.3461196702291273,0.2526946965684158,0.3168241880756506,0.3298375825073268,0.3575054438639063,0.3100626353533289,0.3182009497067257,0.348121688474148,0.332084854738055,0.3010064785641717,0.2778358871004204,0.3428604768465219,0.3456882462274929,0.3851505379723871
rhynchosporium,0.1709858783744133,0.1696786904291045,0.1900899014273151,0.1689537073280974,0.0873659244973129,0.0710007469302048,0.1632561729558314,0.1864292452556941,0.2103053618850929,0.1545331153407845,0.1790982253175909,0.2179625199301687,0.2094290420045866,0.2138637946782554,0.1904822736756225,0.1870455136548749,0.2097558292071325,0.1992496764354264,0.1713845070657736,0.2520519458023546,0.2856545604784612,0.2739478058051922
