representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_name,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,r2_norm,pearson_norm,rmse_norm_inv,score_composite,rank_trait
pca50,blumeria_graminis,ridge,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7222022976150219,1.3704209431593649e-179,0.8060143617471274,0.63428889831564,0.5204646481973667,24.28513430000021,"{""model__alpha"": 100.0}",45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8484689124087924,0.8017747163344595,0.8239807095408931,0.8248935934054794,11.0
pca20,blumeria_graminis,gradient_boosting,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7214742545331185,4.6268744347369154e-179,0.8064108481988688,0.6263005218643276,0.519992755778615,1600.7186831000145,"{""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8473132117814128,0.7982527502839609,0.8226833592350423,0.8227630566731581,12.0
pca50,blumeria_graminis,adaboost,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7161027178381586,3.254817997854113e-175,0.81501978617225,0.6399046357108357,0.5096892973859932,89.59596309997141,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.1, ""model__loss"": ""square"", ""model__n_estimators"": 100}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8220792540924261,0.7722675162381989,0.7945139015807839,0.7966414884484069,13.0
pca20,blumeria_graminis,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7142553780819896,6.531761842715894e-174,0.8160312639935893,0.6294792647146943,0.5084715450047643,22.113171500001044,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8190968853679989,0.7633308639071938,0.7912042271767474,0.7912119451454267,14.0
pca20,blumeria_graminis,adaboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7135583987116985,2.012601893495645e-173,0.8185786302032639,0.6405450553047775,0.5053979929289782,105.45596069999738,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""linear"", ""model__n_estimators"": 200}",40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8115695212461792,0.7599591710210453,0.7828689453109478,0.7851852659690793,15.0
pca50,blumeria_graminis,xgboost,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7126905788938733,8.13270060296962e-173,0.8180668640501375,0.635463374755271,0.5060162388325118,44.9107931000035,"{""model__colsample_bytree"": 0.1, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8130836527519972,0.7557610239438978,0.7845435043592243,0.7844465715502029,16.0
pca50,blumeria_graminis,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6788036516425163,8.876275595623305e-151,0.856458871230544,0.6636532636367104,0.4585627974540364,249.8715544999868,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,,0.6968665452224777,0.5918303304154622,0.6589203410986251,0.647262818474901,17.0
pca20,blumeria_graminis,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6766695403001488,1.7252889849728478e-149,0.8585135157783017,0.6644381488686377,0.4559618660366428,165.66431339998962,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}",20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,,0.6904966652426193,0.5815063978314832,0.6521973024658027,0.6392406857228016,18.0
pca50,blumeria_graminis,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6604393824924182,4.908891058755639e-140,0.9032512433584576,0.6523737189479009,0.3977841177949279,678.5321577999857,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,0.5480149099299358,0.5029917244365771,0.5058101956573214,0.5215646928780695,19.0
pca20,blumeria_graminis,svr_linear,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6327387185382116,3.387204209997087e-125,0.9364655070895768,0.6510234088629716,0.3526805744828808,61.72186160000274,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,0.4375528825028552,0.3689875693968376,0.397129217982249,0.40204202435632685,20.0
