trait,run_name,representation,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,run_model,rank_pearson_trait,delta_pearson_to_best
heading_date,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,snp_direct,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8024063197835223,1.1902223064983716e-250,18.977351224782197,,0.6433398493062897,1705.786745099991,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | xgboost,1.0,0.0
heading_date,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,snp_direct,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7972507952980223,3.857790834136004e-245,19.19990061560429,12.98729048201484,0.6349256175343062,70.76490539999213,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,3.0,0.0051555244854999405
heading_date,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7882798296254394,6.3706925126075165e-236,19.58046944732811,12.650953185142406,0.6203096165365298,944.8232774999924,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,5.0,0.014126490158082872
heading_date,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,pca20,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7862197770934484,7.206544481159384e-234,19.63793629168321,12.71355186848748,0.6180776345626733,24.61277049999626,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3 | xgboost,6.0,0.016186542690073913
heading_date,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,pca50,gradient_boosting,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7855202632593901,3.546946447635745e-233,19.68049548790525,12.670321334226426,0.6164204418961926,2148.5987379,"{""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""model__subsample"": 0.7}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3 | gradient_boosting,7.0,0.01688605652413222
heading_date,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,pca50,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7811289864146505,6.85686563555285e-229,20.04461923697692,11.639806753421423,0.6020953451512892,14.152745800005505,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.01}",outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,10.0,0.02127733336887183
heading_date,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7790985402831716,6.088988819260155e-227,20.206426866510853,11.35037255793163,0.5956453473675068,32.829372999985935,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,11.0,0.023307779500350678
heading_date,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,pca50,xgboost,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7786027302245537,1.8079063445989267e-226,19.94371530055511,13.014588939547185,0.6060913391167213,45.29094579999946,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3 | xgboost,12.0,0.023803589558968552
heading_date,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7027383061978627,5.096779452349896e-166,22.84451169580425,13.895181918196116,0.4831706642165162,117.46478509998995,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3 | decision_tree,21.0,0.09966801358565958
heading_date,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.677979550131043,2.7998913389803045e-150,23.578720658265848,14.902279972169223,0.4494156375252873,204.19383549998747,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3 | decision_tree,22.0,0.12442676965247923
