representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_name,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,run_model,rank_pearson_trait,delta_pearson_to_best
snp_direct,plant_height,elasticnet,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8106606698220638,8.01102990314925e-260,8.402719838015537,,0.6562167497007332,162.28656469998532,"alpha=0.1, l1_ratio=0.1",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | elasticnet,2.0,0.005110540685392073
snp_direct,plant_height,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8025876862028078,7.564804070211493e-251,8.573038418135264,,0.6421389054537542,553.6492192000151,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | ridge,3.0,0.013183524304647976
snp_direct,puccinia_hordei,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7551005779668721,2.207014567994201e-205,0.7795443953634316,0.5956109720568853,0.5698892460810736,82.05345180000586,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,1.0,0.0
snp_direct,puccinia_hordei,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7341394465828697,1.6759776188526876e-188,0.807653921917471,,0.5383113406680755,1747.8644006999966,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | xgboost,2.0,0.020961131384002463
snp_direct,puccinia_hordei,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7290973304710477,1.1142232908349014e-184,0.8138608350226726,,0.5311878121852935,78.09537860000273,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | ridge,3.0,0.02600324749582439
snp_direct,ramularia_collo_cygni,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3851505379723871,1.4419877747333559e-40,1.0354704290635364,0.7994025849722277,0.1467774307659416,74.72838629999023,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,1.0,0.0
pca20,ramularia_collo_cygni,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3617207838327954,1.2004815841365192e-35,1.0466269896979128,0.8121917032276322,0.1282924795408779,18.624296199996024,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}",10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,2.0,0.023429754139591696
pca20,ramularia_collo_cygni,elasticnet,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3575054438639063,8.35932300729943e-35,1.0476704792448008,0.8187642553420006,0.1265534241945579,2.527495599999384,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.3}",45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3 | elasticnet,3.0,0.02764509410848076
snp_direct,rhynchosporium,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.2856545604784612,2.750920411498821e-22,0.8824664254264136,,0.0704011753348398,1592.1469702000031,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | xgboost,1.0,0.0
snp_direct,rhynchosporium,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.2739478058051922,1.470277909440009e-20,0.8834207988137073,0.5453959944964601,0.0683893954156649,80.14039390000107,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,2.0,0.011706754673269038
snp_direct,rhynchosporium,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.2520519458023546,1.5137385927954897e-17,0.8987169184768824,,0.0358490830171477,108.9596166999836,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | ridge,3.0,0.03360261467610659
