run_name,trait,model,r2_mean,r2_std,rmse_mean,rmse_std
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,svr_linear,0.3579895148685473,0.29789296919039554,0.9169582499398052,0.2125888456500835
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,svr_rbf,0.5282995702478395,0.005375037649410702,0.7981462384604807,0.027791898142831787
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,svr_linear,0.5268624003880212,0.07098235071009303,21.71653158816057,1.7802197258899584
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,svr_rbf,0.5930541255826649,0.08298270285165733,20.100720798762012,2.307788465682001
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,lodging,svr_linear,0.7184183185351996,0.03321419614036225,0.8351968249307964,0.026765792701654058
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,lodging,svr_rbf,0.7566331746052718,0.03747445873905499,0.7755403957688076,0.03995303218631396
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,plant_height,svr_linear,0.5545342165678198,0.0407795878956039,9.501792837049809,0.6243154846281206
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,plant_height,svr_rbf,0.6200494380909201,0.04409751214576587,8.77433431019376,0.7098336013857235
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,svr_linear,0.3145861795542263,0.1755723696835435,0.9747860916370261,0.11025711962604912
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,svr_rbf,0.488188935156676,0.06022669898958399,0.8466877547242037,0.051702842894546436
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,svr_linear,-0.05377911156334224,0.3152129666442674,1.1405815660967715,0.17811236218765267
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,svr_rbf,0.12663378481405096,0.06214835519831336,1.045370779061671,0.057314808820557804
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,svr_linear,0.012930315207399262,0.03489641423688161,0.8959498586835297,0.13815389297840505
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,svr_rbf,0.00768737532338048,0.034840649407157864,0.8980359359959091,0.13537562383456794
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,svr_linear,0.398326209551448,0.15834538034859777,0.8960791426785002,0.12700875307022844
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,svr_rbf,0.5304134731517498,0.030341697322436106,0.7962140987472356,0.0417373601639509
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,svr_linear,0.5775958415574896,0.08526540336760442,20.48850133368805,2.263749358974501
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,svr_rbf,0.5994292304468949,0.07572904381755743,19.95583371570974,2.1069708903801567
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,lodging,svr_linear,0.6987925984839818,0.06184253520156998,0.8639672946852637,0.10370247818799298
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,lodging,svr_rbf,0.7475791174164902,0.032944422934338836,0.7905152575955354,0.027494161962960287
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,plant_height,svr_linear,0.5965589660812582,0.037806957243158974,9.042929928438744,0.6094444964811613
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,plant_height,svr_rbf,0.6166967421575092,0.04303074461801839,8.808004790581116,0.6076179365153608
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,svr_linear,0.22307503430675987,0.352893280232185,1.0256315825272728,0.20585688834350288
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,svr_rbf,0.49572743192112956,0.04692772606204476,0.8412397635568316,0.05040753067491642
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,svr_linear,-0.009287348503822596,0.1400807301081657,1.1222737520502712,0.09297697496989737
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,svr_rbf,0.08517386753689929,0.057256050773856246,1.0698581719209084,0.051932285337960515
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,svr_linear,0.017734222400922962,0.053150772058943606,0.8939777639743932,0.14171607665732242
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,svr_rbf,0.00810589573726992,0.04811118618402372,0.8991891606636362,0.14955616889508905
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,decision_tree,0.455377465024238,0.04238714200329899,0.8573592266576071,0.049757075364843736
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,heading_date,decision_tree,0.4791789343277938,0.07113925944394597,22.792838891352204,1.7169048796451885
