representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_name,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,r2_norm,pearson_norm,rmse_norm_inv,score_composite,rmse_cutoff
pca20,heading_date,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7882798296254394,6.3706925126075165e-236,19.58046944732811,12.650953185142406,0.6203096165365298,944.8232774999924,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8812410654747546,0.8864674362475391,0.8689263639304663,0.8808686734750107,19.64857609073872
pca20,heading_date,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7862197770934484,7.206544481159384e-234,19.63793629168321,12.71355186848748,0.6180776345626733,24.61277049999626,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8697315074192751,0.869911091196191,0.8564372897133601,0.8671444973888585,19.64857609073872
snp_direct,lodging,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8773082887245263,0.0,0.7614187900438776,,0.7686054125306541,604.4759736999986,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",1.0,1.0,1.0,1.0,0.7759907161874373
snp_direct,lodging,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8743518577966986,0.0,0.7691969093098011,,0.7638537369913991,1741.1159903999942,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9605933655646735,0.957781159037089,0.9562195982233133,0.9585937294853677,0.7759907161874373
pca50,lodging,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8732003826219472,0.0,0.7729795255956527,0.5909392225545772,0.7615254722202864,828.2316807999741,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.9412845811272845,0.9413377012116472,0.9349285309228738,0.9400346191201475,0.7759907161874373
pca20,lodging,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8725729694930571,0.0,0.7737745871963319,0.5951306115154796,0.7610346456390106,950.093090499984,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.9372140541100901,0.9323780279592373,0.9304533981658532,0.9339275124609016,0.7759907161874373
snp_direct,lodging,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8723718291059903,0.0,0.7744385691331145,0.587212508644777,0.7606243536525659,80.40613400000439,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9338114172532592,0.9295056746994812,0.9267160684887215,0.9306700504788404,0.7759907161874373
pca50,lodging,gradient_boosting,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8716635087967395,0.0,0.77586653710282,0.585178935498616,0.7597407822326161,2168.025635800004,"{""model__learning_rate"": 0.01, ""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""model__subsample"": 0.7}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.9264837755286051,0.9193906193448703,0.9186785199116714,0.9220854619317245,0.7759907161874373
snp_direct,plant_height,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8157712105074558,9.90205479575484e-266,8.2895698850206,6.110733144553868,0.6654130943313126,75.82588360000227,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",1.0,1.0,1.0,1.0,8.725821008898416
snp_direct,plant_height,elasticnet,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8106606698220638,8.01102990314925e-260,8.402719838015537,,0.6562167497007332,162.28656469998532,"alpha=0.1, l1_ratio=0.1",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9542643058546096,0.9592515681983498,0.9485487618837399,0.9551161019979318,8.725821008898416
snp_direct,plant_height,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8025876862028078,7.564804070211493e-251,8.573038418135264,,0.6421389054537542,553.6492192000151,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.8842517079616019,0.8948823668366644,0.8711019615147164,0.8858740222222499,8.725821008898416
snp_direct,plant_height,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8019804729266251,3.443330245648311e-250,8.585322395628712,,0.6411126398951372,1769.826567799988,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.8791478357616868,0.8900408069515598,0.8655162247618391,0.8807787020376665,8.725821008898416
pca50,plant_height,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7957630677865566,1.4025488707634918e-243,8.702831161110172,6.537820704139651,0.6312211019542431,816.7538175000227,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8299547735108479,0.8404668919923299,0.8120829593162506,0.8305852580645212,8.725821008898416
pca50,plant_height,gradient_boosting,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7934226228195442,3.7659178938388175e-241,8.725019954069657,6.55086078643241,0.6293382227230466,1279.4844327000028,"{""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500, ""model__subsample"": 0.7}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8205907498590632,0.8218055667050815,0.8019933318806837,0.8173571930017947,8.725821008898416
snp_direct,puccinia_hordei,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7551005779668721,2.207014567994201e-205,0.7795443953634316,0.5956109720568853,0.5698892460810736,82.05345180000586,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",1.0,1.0,1.0,1.0,0.8428493555764183
snp_direct,puccinia_hordei,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7341394465828697,1.6759776188526876e-188,0.807653921917471,,0.5383113406680755,1747.8644006999966,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9066881888861359,0.8905686809369456,0.8929092903947005,0.8974846060081728,0.8428493555764183
snp_direct,puccinia_hordei,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7290973304710477,1.1142232908349014e-184,0.8138608350226726,,0.5311878121852935,78.09537860000273,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.8856383651072612,0.8642454158956865,0.8692624058548059,0.8738059935721403,0.8428493555764183
pca50,puccinia_hordei,gradient_boosting,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7192849302824953,1.7548202910009895e-177,0.8261854707950047,0.6369036593434994,0.5168814637544004,1110.4047198999906,"{""model__learning_rate"": 0.005, ""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500, ""model__subsample"": 0.7}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8433635129581654,0.813018033359104,0.8223084314451501,0.8270143048159379,0.8428493555764183
pca50,puccinia_hordei,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7153519339534692,1.1044256794399587e-174,0.8306928938451769,0.6373185604342461,0.511595580797009,863.9751632000261,"{""model__max_depth"": 25, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8277438793681845,0.7924851256514622,0.8051362057939553,0.8091188431666498,0.8428493555764183
