run_name,trait,model,r2_mean,r2_std,pearson_mean,pearson_std,rmse_mean,rmse_std,n_folds,r2_cv,pearson_cv,rmse_cv
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,random_forest,0.5346318787547191,0.01913433013493448,0.734651819380412,0.01266478386618179,0.7927305135496702,0.03409812133017844,5,0.03578972914877943,0.01723916491061435,0.0430135093166714
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,svr_rbf,0.5304134731517498,0.030341697322436106,0.732266146141626,0.022630453552522387,0.7962140987472356,0.0417373601639509,5,0.05720385860891477,0.03090468359320476,0.05241977029748723
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,svr_rbf,0.5282995702478395,0.005375037649410702,0.730970077167344,0.006117073000336994,0.7981462384604807,0.027791898142831787,5,0.010174223020641733,0.008368431474024055,0.034820558944735125
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,elasticnet,0.5251097833492134,0.021297622339818825,0.730240006877071,0.015926776531652812,0.8007807459412349,0.035258355215865185,5,0.04055841847771341,0.02181033137278376,0.04402997374071805
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,random_forest,0.522934459102924,0.011156742269496608,0.7273694050001892,0.0074477113908806925,0.802574670135626,0.02668715869280072,5,0.02133487681923967,0.010239242040815224,0.033251932419311084
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,gradient_boosting,0.5214441887210359,0.02562918035891953,0.7274368243451272,0.01843805598482809,0.8039007174678738,0.040036248771492776,5,0.04915038064146635,0.025346607935921986,0.04980247921360107
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,ridge,0.5197895993036237,0.022460620798705422,0.7249939395446374,0.01607244326275064,0.8053071092253201,0.037742733966082076,5,0.043210985423326145,0.022169072575759192,0.04686750375566582
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,gradient_boosting,0.5190972848140233,0.025618973030125437,0.7261445987543234,0.017764582277134178,0.8057457204377361,0.03661096299424178,5,0.04935293206032455,0.02446424900441141,0.045437365741579375
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,adaboost,0.508641510145474,0.03533767106809998,0.7195448314182228,0.024416103493743818,0.8142083525321236,0.040651114978328184,5,0.06947461102416362,0.033932706382755445,0.04992716526661318
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,xgboost,0.5075586716971832,0.025665575488385953,0.7184354401007934,0.014716543082783402,0.8153690357490484,0.03674845841395528,5,0.05056671655823547,0.0204841552369949,0.04506972524434396
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,xgboost,0.504938704868937,0.021141836278762836,0.7156204660977444,0.012855356490847685,0.8175340908278912,0.03300387081539559,5,0.041870104380789065,0.017963930742433253,0.04037002393621727
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,adaboost,0.5043916637784029,0.03282782824510141,0.7180203248611396,0.018798675019300964,0.8178117998817676,0.039604826088422626,5,0.06508400237860361,0.026181257505400703,0.048427799762914114
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,decision_tree,0.456613321746483,0.039493044502892184,0.680117414946597,0.03137941562190007,0.8559163764214848,0.03407628726498636,5,0.08649122270860765,0.04613823279964679,0.03981263614496604
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,decision_tree,0.455377465024238,0.04238714200329899,0.6791597045077208,0.030417154757075737,0.8573592266576071,0.049757075364843736,5,0.09308133418732718,0.04478645384169719,0.05803527135156685
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,svr_linear,0.398326209551448,0.15834538034859777,0.676711037446322,0.06243433706148286,0.8960791426785002,0.12700875307022844,5,0.39752689266144264,0.09226144337336195,0.14173832089270855
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,svr_linear,0.3579895148685473,0.29789296919039554,0.6702416058663052,0.08588782451859679,0.9169582499398052,0.2125888456500835,5,0.8321276373130118,0.12814457319101294,0.23184135773252398
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,elasticnet,0.34187401722329963,0.3669671659892221,0.6761743266335686,0.09531127175162438,0.9224227355127045,0.2497880656125056,5,1.0733988179907001,0.14095665569875343,0.2707956514901679
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,ridge,0.1880919334958862,0.7110632758145431,0.6611566087089841,0.12601665337311685,0.9931048930400413,0.4073598750368801,5,3.780402820039568,0.19060030817688547,0.4101881663173475
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,random_forest,0.6177153155743095,0.07342590976534788,0.7901905620148876,0.04803526830006011,19.493068521267837,2.0661145306185467,5,0.1188669082894302,0.06078947358922657,0.10599226737259557
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,xgboost,0.6153955646554677,0.07576809068995809,0.7873957370356448,0.046783012510411996,19.54727451393024,2.107308969177869,5,0.12312095673353972,0.059414866387947136,0.10780576942714487
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,gradient_boosting,0.6136468821660287,0.07862287069857132,0.7875096994412648,0.05137772962616979,19.58468934718755,2.168480407917469,5,0.12812396344466243,0.0652407578758993,0.11072324760815634
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,random_forest,0.6110941469075856,0.07263896027253915,0.7878489081357422,0.05049350143361736,19.664567687542473,2.0322951524507245,5,0.11886705287577264,0.06409033624619506,0.10334807175741707
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,gradient_boosting,0.6110333430199043,0.07521968610329283,0.7860193025128603,0.04676085501504315,19.65914191581027,2.0717777724782307,5,0.12310242470817596,0.05949072098554231,0.10538495430525714
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,xgboost,0.6033072864963287,0.07326582960298056,0.781717066341918,0.04629146171742272,19.861670113928685,2.0204703273830034,5,0.12144031945721644,0.05921766801644207,0.1017271113553577
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,svr_rbf,0.5994292304468949,0.07572904381755743,0.782492818753162,0.042004965969468434,19.95583371570974,2.1069708903801567,5,0.1263352535562853,0.053680960339546495,0.10558170209253125
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,svr_rbf,0.5930541255826649,0.08298270285165733,0.7798605133281213,0.046701337922085855,20.100720798762012,2.307788465682001,5,0.13992433282565622,0.05988421919553781,0.11481122934776229
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,elasticnet,0.5930078815281575,0.06294909395251409,0.7748659385536893,0.040973279492633255,20.140399033302025,1.7601405839404136,5,0.10615220457154263,0.05287789468344823,0.08739353083471843
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,ridge,0.5911194853435499,0.06088063621686682,0.7750259286927358,0.04086025911291665,20.19046824104137,1.7096850675232667,5,0.10299209842741675,0.0527211511256625,0.08467783149515931
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,svr_linear,0.5775958415574896,0.08526540336760442,0.7736631561997196,0.04080436448104494,20.48850133368805,2.263749358974501,5,0.14762122098678188,0.052741770309288685,0.11048877231700446
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,elasticnet,0.5627352876740834,0.0405754753878065,0.7548083227833339,0.025760492671549357,20.903814534867355,1.1439368969957886,5,0.07210401813526646,0.03412852229365766,0.05472383497699491
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,ridge,0.5604429462857645,0.04059542167576764,0.7535570507260203,0.0239272538076826,20.95817183260958,1.132319669497218,5,0.07243453048130331,0.03175241182420058,0.054027597375425694
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,adaboost,0.5481013007487844,0.03486871178019977,0.7548956859828118,0.03157973230792901,21.253772584238327,0.9621534798671536,5,0.06361727609944393,0.04183323986918114,0.045269773921486345
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,heading_date,adaboost,0.5311891836041415,0.01995492821204316,0.7469268861822702,0.022544945485281603,21.656786309984508,0.6766870337051345,5,0.037566518347847584,0.030183604181815503,0.031245957919119282
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,svr_linear,0.5268624003880212,0.07098235071009303,0.7486427346149328,0.028040656023452185,21.71653158816057,1.7802197258899584,5,0.13472654464963957,0.03745532378388071,0.08197532458914845
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,heading_date,decision_tree,0.4791789343277938,0.07113925944394597,0.7056057236861357,0.039989109305909355,22.792838891352204,1.7169048796451885,5,0.14846074054516234,0.05667344802279003,0.07532650442664238
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,heading_date,decision_tree,0.44548877528594727,0.08307483901297227,0.6830292292798199,0.047454344308238534,23.51297529747996,1.9672507912788453,5,0.1864802069584105,0.06947630097510465,0.08366660392356591
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,random_forest,0.7594964962247522,0.02111112820291143,0.8727251841163742,0.012192275351705924,0.7728105913530992,0.018067127696236196,5,0.027796215397765535,0.013970348941001954,0.02337846802099698
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,random_forest,0.7586740490871346,0.024137787769108007,0.8720029826576997,0.01357390906563543,0.7736498424886253,0.015533552723825974,5,0.03181575512982355,0.015566356234544897,0.020078272974061076
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,gradient_boosting,0.7573268625503056,0.02401173587886118,0.8710651515646491,0.01352891374094766,0.7757917713672813,0.012042159001701955,5,0.03170590806458578,0.01553146020897102,0.015522411355921516
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,lodging,svr_rbf,0.7566331746052718,0.03747445873905499,0.8715346177231484,0.020054639381542717,0.7755403957688076,0.03995303218631396,5,0.04952790863102858,0.023010720370390692,0.05151637800466573
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,lodging,gradient_boosting,0.7516038438402975,0.027715120674224207,0.8679084432981092,0.01534448087945436,0.7844440619273898,0.01613015038159332,5,0.03687463934805684,0.017679838234024227,0.020562524677618592
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,lodging,xgboost,0.750750383790904,0.03109306005898123,0.8672612681665106,0.017188038089836506,0.7854382132982991,0.020712365022970303,5,0.04141597624229939,0.019818754417770763,0.026370457500396686
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,lodging,xgboost,0.7485972589366063,0.03036226981890249,0.8661219366557168,0.016878157324189798,0.7889373545868825,0.02510573000108731,5,0.04055888457570971,0.019487045195229664,0.03182220978018416
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,lodging,svr_rbf,0.7475791174164902,0.032944422934338836,0.8669317804948756,0.018155309792284798,0.7905152575955354,0.027494161962960287,5,0.04406814231005986,0.02094202819732955,0.034780052249197176
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,lodging,elasticnet,0.7425100094091394,0.0284143488034139,0.8657551907848144,0.019984837757399693,0.7992648340005749,0.0308304327984192,5,0.03826796735848038,0.023083705382445665,0.03857348839445753
