trait,model,fold,n_train,n_test,pearson_r,rmse,mae,r2,best_params,best_inner_r2
blumeria_graminis,adaboost,4,888,222,0.7425464585496475,0.7519733870987132,0.5900834608605616,0.5455930282259316,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""square"", ""model__n_estimators"": 200}",0.5036383370928353
blumeria_graminis,adaboost,5,888,222,0.7060147374584732,0.8168023894396467,0.6350434948866163,0.4936741562005318,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""linear"", ""model__n_estimators"": 200}",0.509028746687699
heading_date,adaboost,1,888,222,0.7713225863884434,20.750981000899515,15.901602820259283,0.5542035521915349,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""linear"", ""model__n_estimators"": 100}",0.5110186556651882
heading_date,adaboost,2,888,222,0.7440873598950748,21.441207104522523,16.31799293155646,0.53630088117092,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""linear"", ""model__n_estimators"": 100}",0.5676956762069949
heading_date,adaboost,3,888,222,0.7282522472273109,22.081216083786938,16.75771211083515,0.5192848499629004,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""linear"", ""model__n_estimators"": 100}",0.5583494629362459
heading_date,adaboost,4,888,222,0.7222806084960054,22.525672234442563,16.89733885592696,0.5035370716862801,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""linear"", ""model__n_estimators"": 100}",0.5585944659820982
heading_date,adaboost,5,888,222,0.7686916289045163,21.48485512627101,17.78428655186927,0.542619563009072,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""linear"", ""model__n_estimators"": 200}",0.5323432895042169
lodging,adaboost,1,888,222,0.8695115578944232,0.8524071447481221,0.6692350709158422,0.7456417704635419,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.2, ""model__loss"": ""linear"", ""model__n_estimators"": 100}",0.6983773065978148
lodging,adaboost,2,888,222,0.8433276969843676,0.8333137127262853,0.6647535294154404,0.7043839166168775,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""square"", ""model__n_estimators"": 200}",0.7239725641055129
lodging,adaboost,3,888,222,0.8462458404338506,0.8570756201154759,0.6638018742271196,0.7084827660858894,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.2, ""model__loss"": ""linear"", ""model__n_estimators"": 100}",0.7247146325682406
lodging,adaboost,4,888,222,0.8516815053022115,0.843670403959575,0.6381550712655357,0.7196467227531711,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.05, ""model__loss"": ""square"", ""model__n_estimators"": 200}",0.7190374665825049
lodging,adaboost,5,888,222,0.8556332999783303,0.7794063435029619,0.6019665333826323,0.7275087386148009,"{""model__estimator"": ""DecisionTreeRegressor(max_depth=3, random_state=42)"", ""model__learning_rate"": 0.1, ""model__loss"": ""square"", ""model__n_estimators"": 100}",0.7105773572560299
