trait,model_name,learning_rate,batch_size,fold,pearson_r,r2,rmse,mae,best_epoch
ramularia_collo_cygni,mlp_a,0.001,32,1,0.24723227893095662,0.005517281509838323,1.1395785228754987,0.8783439795176188,67
ramularia_collo_cygni,mlp_a,0.001,32,2,0.3895863537864328,0.07489861815930521,1.0623719626340071,0.8544046121674616,53
ramularia_collo_cygni,mlp_a,0.001,32,3,0.31302388147148125,0.05490557918732486,1.1042202343634038,0.8475736261488082,26
ramularia_collo_cygni,mlp_a,0.001,32,4,0.3527394315041459,0.09832462135151931,1.0730460791701375,0.8079849191614099,31
ramularia_collo_cygni,mlp_a,0.001,32,5,0.44629557521639096,0.15536890518844026,0.9924506411347347,0.7627041068699982,58
ramularia_collo_cygni,mlp_a,0.001,64,1,0.22166138136879332,-2.917187980921007,2.2616887720772705,1.7564684695958555,2
ramularia_collo_cygni,mlp_a,0.001,64,2,0.3502026824924017,0.11118142095706884,1.0413302817641188,0.8251540569571761,51
ramularia_collo_cygni,mlp_a,0.001,64,3,0.33956983763294324,0.054480478137486354,1.10446854416087,0.8592734825503718,35
ramularia_collo_cygni,mlp_a,0.001,64,4,0.35489659763103476,0.08313736808489292,1.0820452003301253,0.8400825380205034,39
ramularia_collo_cygni,mlp_a,0.001,64,5,0.3807758753477799,-0.12029700683636602,1.1429887914067367,0.8859446711905368,284
ramularia_collo_cygni,mlp_a,0.0005,32,1,0.19527354924341533,-0.07129903471056576,1.1827718838229366,0.9143575977634739,52
ramularia_collo_cygni,mlp_a,0.0005,32,2,0.301633620549302,0.0767763190486046,1.0612932538141642,0.8446708364529653,62
ramularia_collo_cygni,mlp_a,0.0005,32,3,0.2122661023513893,-2.4072337482946637,2.0966168210792926,1.6143396302117958,2
ramularia_collo_cygni,mlp_a,0.0005,32,4,0.3035367292849606,0.06262389050730066,1.094082841100367,0.8221745856173404,33
ramularia_collo_cygni,mlp_a,0.0005,32,5,0.45823354616360124,0.19064611431998735,0.9715040418464861,0.7515251923788775,73
ramularia_collo_cygni,mlp_a,0.0005,64,1,0.20065507392341791,-2.3823417740971164,2.1016209066649703,1.6161696086344015,2
ramularia_collo_cygni,mlp_a,0.0005,64,2,0.3219295425753026,-4.1609198524173285,2.5092590147954508,2.060245410656674,2
ramularia_collo_cygni,mlp_a,0.0005,64,3,0.25768731604986767,-0.01588799238646943,1.1448300355592982,0.8968700374568905,55
ramularia_collo_cygni,mlp_a,0.0005,64,4,0.36472837682670534,-0.0652001429963609,1.1662962375426744,0.879225492477417,188
ramularia_collo_cygni,mlp_a,0.0005,64,5,0.30180655286242547,-3.0227953737555397,2.165904754994223,1.8047710056542545,2
ramularia_collo_cygni,mlp_a,0.0001,32,1,0.14945355335649085,-0.14146625929765633,1.2208917939987156,0.9446698856783343,131
ramularia_collo_cygni,mlp_a,0.0001,32,2,0.18946976669177648,-8.183366659872522,3.347209519676064,3.1089497781904027,1
ramularia_collo_cygni,mlp_a,0.0001,32,3,0.16884410651768925,-4.588394373008726,2.685107173186277,2.3909854156988763,1
ramularia_collo_cygni,mlp_a,0.0001,32,4,0.3290495980361824,0.06343603040347046,1.0936087833244634,0.8414409525759585,153
ramularia_collo_cygni,mlp_a,0.0001,32,5,0.43830962022590103,0.18562962608801892,0.9745101497273703,0.7551329272824365,141
ramularia_collo_cygni,mlp_a,0.0001,64,1,0.054138935718305845,-10.186741608901414,3.822059457363995,3.4376536972583733,1
ramularia_collo_cygni,mlp_a,0.0001,64,2,0.3656935074078782,0.03437799507130268,1.0853892422176377,0.8874613116453359,222
ramularia_collo_cygni,mlp_a,0.0001,64,3,0.1860047397694088,-8.840663608653841,3.563118733498764,3.3095843327307217,3
ramularia_collo_cygni,mlp_a,0.0001,64,4,0.3007685371788968,0.06465413354191274,1.0928973734471183,0.836085031698416,277
ramularia_collo_cygni,mlp_a,0.0001,64,5,0.26047830279591433,-9.684202844869523,3.5297703123974196,3.226991323603166,2
