representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer
pca20,blumeria_graminis,svr_linear,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6327387185382116,3.387204209997087e-125,0.9364655070895767,0.6510234088629716,0.3526805744828808,61.72186160000274,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca20,heading_date,svr_linear,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7460793719773648,6.4953835199284604e-198,21.774826980656677,13.826452104917662,0.5304381298592047,23.351903799979482,"{""model__C"": 1, ""model__epsilon"": 0.1}"
pca20,lodging,svr_linear,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8497961786105552,2.0796934729878e-310,0.8355398629040038,0.6360643789251411,0.7213619864521743,96.47929840002325,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca20,plant_height,svr_linear,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7496668855252678,7.600031605094988e-201,9.51818695853828,7.000909460852409,0.5588833930471973,23.12375339999562,"{""model__C"": 0.1, ""model__epsilon"": 0.1}"
pca20,puccinia_hordei,svr_linear,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.5845248378058352,1.0716662668808715e-102,0.97976182329767,0.7237643481146259,0.32057797664429677,158.21327620002558,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca20,ramularia_collo_cygni,svr_linear,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.28549735550725913,2.905582394976992e-22,1.1516533852557447,0.8357154274476261,-0.055432613888508175,134.7123244999966,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca20,rhynchosporium,svr_linear,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.17098587837441334,9.894601454034916e-09,0.9044309524729391,0.6171784767120256,0.02354998260664176,526.2406999999948,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca20,blumeria_graminis,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7286600238296017,2.368372496493041e-184,0.7985332364094307,0.6196472968499208,0.529325074231858,26.175356899999315,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}"
pca20,heading_date,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7790985402831716,6.088988819260155e-227,20.206426866510853,11.35037255793163,0.5956453473675068,32.829372999985935,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}"
pca20,lodging,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8716079407730642,0.0,0.776363253441289,0.5871921613575761,0.7594330517798089,47.22796560000279,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""scale""}"
pca20,plant_height,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7903791176010909,4.872724932014741e-238,8.797274213093985,6.433293797806189,0.6231737013197702,32.895191100018565,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}"
pca20,puccinia_hordei,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7023483306495792,9.286651611046927e-166,0.8479497043873627,0.6495527475741468,0.49109258299074177,20.296996199991554,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": 0.1}"
pca20,ramularia_collo_cygni,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.36172078383279543,1.2004815841365191e-35,1.0466269896979128,0.8121917032276322,0.12829247954087797,18.624296199996024,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}"
pca20,rhynchosporium,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.16967869042910452,1.284970750335944e-08,0.9061621212360002,0.6243750354050794,0.019808364611555773,19.766868100006832,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": 0.1}"
