trait,pearson_r_mean,pearson_r_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,best_epoch_mean,n_components_used_mean,pca_var_explained_mean
blumeria_graminis,0.7120023955587276,0.006776925120958324,0.47070112382006224,0.04115033556310283,0.8449712329200658,0.04430469428265829,0.654286481346096,0.036289498798931105,77.2,102.4,0.34873284101486207
heading_date,0.7742864184041587,0.03650377951557294,0.5936327675700248,0.05308071743846629,20.13690377162692,1.4182932359086688,13.684070642144832,1.0820582873678124,135.8,102.4,0.3494291424751282
lodging,0.8656903396658222,0.02414339049250627,0.7297744976713327,0.03564146379431337,0.8193614250736493,0.059563340037942475,0.6299885352989575,0.04057582338579366,43.8,76.8,0.2959506332874298
plant_height,0.7807272996996275,0.02845705326090232,0.5970624795015479,0.042656416064051836,9.028095958247258,0.5390133076264367,6.802661167179141,0.4302708627325608,133.2,76.8,0.2969099819660187
puccinia_hordei,0.6756316140934773,0.041312598558593296,0.4269868686079731,0.06513738072764608,0.8960888874702679,0.05764653476721473,0.6954372807665987,0.04653717286403085,96.2,89.6,0.3234791696071625
ramularia_collo_cygni,0.30441225927978277,0.08954316006336135,0.0692026506164816,0.07963499257894288,1.0791493192799688,0.0685264506554144,0.8430585358056936,0.047331344716575276,54.8,76.8,0.29585751295089724
rhynchosporium,0.19236540550450854,0.05849436961014332,-0.027453271802588608,0.06897135710278404,0.9126432725702063,0.13388660602420874,0.5727988178128595,0.09413906892196908,38.0,76.8,0.29585751295089724
