trait,pca_mlp_r,pca_mlp_r2,pca_mlp_rmse,pca_mlp_n_components_mean,pca_mlp_var_mean,mlp_a_r,mlp_a_r2,mlp_a_rmse,gblup_r,gblup_r2,gblup_rmse,delta_vs_mlp_a_r,delta_vs_gblup_r
blumeria_graminis,0.7120023955587276,0.47070112382006224,0.8449712329200658,102.4,0.34873284101486207,0.7425170175824598,0.5354968867180382,0.7914722385699497,0.7631784297985205,0.5823373942575759,0.7522206688660025,-0.03051462202373223,-0.05117603423979289
heading_date,0.7742864184041587,0.5936327675700248,20.13690377162692,102.4,0.3494291424751282,0.7980409767676337,0.6276478227976816,19.25623375463362,0.7972507952980223,0.6349256175343062,19.19990061560429,-0.023754558363475065,-0.02296437689386366
lodging,0.8656903396658222,0.7297744976713327,0.8193614250736493,76.8,0.2959506332874298,0.8760229609429452,0.7620012897252701,0.7689320483969911,0.8723718291059903,0.7606243536525659,0.7744385691331145,-0.010332621277122978,-0.006681489440168109
plant_height,0.7807272996996275,0.5970624795015479,9.028095958247258,76.8,0.2969099819660187,0.790891095439451,0.5967882176909269,9.036101551995358,0.8157712105074558,0.6654130943313126,8.2895698850206,-0.010163795739823511,-0.035043910807828316
puccinia_hordei,0.6756316140934773,0.4269868686079731,0.8960888874702679,89.6,0.3234791696071625,0.7189118197444875,0.476069365255255,0.8550081775783769,0.7551005779668721,0.5698892460810736,0.7795443953634316,-0.043280205651010206,-0.07946896387339486
ramularia_collo_cygni,0.30441225927978277,0.0692026506164816,1.0791493192799688,76.8,0.29585751295089724,0.3383819060272143,0.0863383033066799,1.0693527367561368,0.3851505379723871,0.1467774307659416,1.0354704290635364,-0.033969646747431526,-0.0807382786926043
rhynchosporium,0.19236540550450854,-0.027453271802588608,0.9126432725702063,76.8,0.29585751295089724,0.1922309825979944,-0.2734446742679374,1.0208859811268478,0.2739478058051922,0.0683893954156649,0.8834207988137073,0.00013442290651413669,-0.08158240030068364
