trait,model,fold,n_train,n_test,pearson_r,rmse,mae,r2,best_params,best_inner_r2
blumeria_graminis,svr_linear,1,888,222,0.5924616768926487,1.0784494482753388,0.7177527265458915,0.18024959275911634,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.40819417423224386
blumeria_graminis,svr_linear,2,888,222,0.6327216525942845,0.9775625338836734,0.6721240752112518,0.2810764136597955,"{""model__C"": 0.1, ""model__epsilon"": 0.1}",0.48367836326831254
blumeria_graminis,svr_linear,3,888,222,0.7398640676745105,0.8196906927718208,0.6219141703579368,0.5353753788834557,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.3195215775106682
blumeria_graminis,svr_linear,4,888,222,0.7243002344034581,0.7776522147849875,0.6146643765988083,0.5140284216069708,"{""model__C"": 0.1, ""model__epsilon"": 0.01}",0.4170020531317558
blumeria_graminis,svr_linear,5,888,222,0.6942075556667083,0.827040823676681,0.6354132460256158,0.4809012408479014,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.4620435161946171
heading_date,svr_linear,1,888,222,0.825402053004304,17.588761087503364,10.896473656278575,0.6797199868188111,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.5126533816224933
heading_date,svr_linear,2,888,222,0.7730592831861258,20.43721222687457,13.061849092281877,0.5787100328578964,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.5671193895377545
heading_date,svr_linear,3,888,222,0.7397992645683289,21.79699779257058,13.61697907026123,0.5315802538341294,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.584263690765376
heading_date,svr_linear,4,888,222,0.7283751865276851,23.4341500952287,14.615521171041827,0.4626840680305493,"{""model__C"": 1, ""model__epsilon"": 0.5}",0.584925718128431
heading_date,svr_linear,5,888,222,0.8016799937121544,19.18538546626304,12.069766789475887,0.6352848662460615,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.5676324869488133
lodging,svr_linear,1,888,222,0.820273529497688,0.9893903652608237,0.6290367163718728,0.6573213994449727,"{""model__C"": 0.1, ""model__epsilon"": 0.1}",0.6562909360887947
lodging,svr_linear,2,888,222,0.7913882971937869,0.9555263464279009,0.6896295418348257,0.6113162946841099,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.7236134866082843
lodging,svr_linear,3,888,222,0.8706897423441493,0.7881699042648467,0.6090957445057178,0.7534723439533714,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.6052021733392353
lodging,svr_linear,4,888,222,0.8533000399154365,0.8333186434211817,0.6234833037629134,0.7264843347353329,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.6954283128501523
lodging,svr_linear,5,888,222,0.8637690270856129,0.7534312140515657,0.5846302674789536,0.7453686196021224,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.6704225228285005
plant_height,svr_linear,1,888,222,0.7917893473424594,8.607107753768329,6.2949282115618255,0.6252282986406436,"{""model__C"": 0.1, ""model__epsilon"": 0.1}",0.5223736254257486
plant_height,svr_linear,2,888,222,0.765781698879947,8.876632034076392,6.73398642760992,0.5838347267170716,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.5791345124019741
