Trait	Min	Max	Mean	Sigma.Gen	Sigma_Gen.x.Env	Sigma_Env	Sigma_E	h2.Gen	Nr.Rep	Nr.Env
heading_date	62.78762923	80.18677465	71.48394221	11.52595427	8.145263674	71.16598724	0.94693986	0.964974704	19.68131868	22
plant_height	57.07779965	118.5807341	90.85849178	90.67193716	63.81649718	109.7376617	24.2806012	0.926602637	10.68088033	13
lodging	0.893707226	7.622874823	3.771982535	2.07897539	2.864129137	2.704838605	0.546730025	0.910944636	15.72614108	17
blumeria_graminis	0.498008875	7.605366091	3.51862943	1.494976527	0.984721185	2.484826173	1.190496429	0.910881934	13.47638889	17
puccinia_hordei	1.694911443	6.685474056	4.235477607	0.962459176	0.840271878	3.533924511	1.221313797	0.882548892	15.52689655	17
ramularia_collo_cygni	1.0890685	8.548221744	3.68391745	0.586712141	2.248831243	2.570880227	0.608025628	0.536954016	4.636107193	6
rhynchosporium	1.205015984	5.342723977	1.387535178	0.06007497	3.403779	0.3053953	3.35E-06	0.05028581	1.451748	3
