representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer
pca50,blumeria_graminis,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6788036516425163,8.876275595623305e-151,0.856458871230544,0.6636532636367104,0.4585627974540364,249.87155449998681,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}"
pca50,heading_date,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.677979550131043,2.799891338980304e-150,23.578720658265848,14.902279972169223,0.44941563752528735,204.19383549998747,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}"
pca50,lodging,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8084048118788874,2.8483640780592055e-257,0.9384098411836888,0.697344660089945,0.6485276837611669,200.35026089998428,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}"
pca50,plant_height,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6903543426812659,6.011093180268164e-158,10.488738595776649,7.910513687229484,0.46433722126497434,222.71762309997575,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}"
pca50,puccinia_hordei,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6052433261400866,6.8099529388221725e-112,0.9596005008396444,0.7396211218693184,0.34825227153414584,226.1020065000048,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}"
pca50,ramularia_collo_cygni,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.2141412529367533,5.585655647291372e-13,1.1129110211528221,0.8713150914558281,0.014383830676301668,187.9125781999901,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}"
pca50,rhynchosporium,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.0710007469302048,0.017989756250689562,0.9224725836240281,0.5885467416436441,-0.015795112542178247,219.85871819997556,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2}"
