model,mean_r,median_pearson_r,std_pearson_r,mean_rank_pearson,mean_r2,mean_rmse,mean_mae,n_traits,best_pearson_trait_count
random_forest,0.6334938018673428,0.7240541723135465,0.25198671168495695,1.7142857142857142,0.450837955267606,4.6710157889602355,3.2041093973766794,7,3
svr_rbf,0.6290704896283439,0.7286600238296017,0.25985820246086544,2.5714285714285716,0.44953865740601706,4.768476626396691,3.0109464714503105,7,3
gradient_boosting,0.6247390638272077,0.7214742545331185,0.25872457929092074,3.4285714285714284,0.4472079031604136,4.709299358467304,3.1739945286512254,7,0
xgboost,0.6204583459065057,0.7142553780819896,0.25957586064809307,3.857142857142857,0.4328361073351202,4.711093541911157,3.2232298097470387,7,0
elastic_net,0.5966326875832506,0.6449865952035013,0.23029414630886758,5.142857142857143,0.3939325149207001,4.999053983917863,3.6759342735587417,7,0
adaboost,0.5961595530196282,0.7135583987116985,0.2607804454540349,6.571428571428571,0.39827883146722914,5.115415007266662,3.9448571358562723,7,0
ridge,0.5773110258444232,0.6324434941033938,0.23412225983593246,6.142857142857143,0.35759436714848186,5.037254135159145,3.6964450711037915,7,1
svr_linear,0.5741841751912725,0.6327387185382116,0.2535575631548807,7.142857142857143,0.3502942041719839,5.157266495744985,3.4701582294046367,7,0
decision_tree,0.552874147462771,0.6766695403001488,0.27086539957244676,8.428571428571429,0.3502474805671367,5.393812991443043,3.5640650567442234,7,0
