representation,model,trait,pearson_r,r2,rmse,mae,source_file,source_notebook,notes
PCA50,svr_linear,ramularia_collo_cygni,0.3001729249206434,-0.0077729267137678,1.1253506781624276,0.8473991089433651,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_linear,rhynchosporium,0.1900899014273151,0.0268116166226093,0.9029191545133878,0.611969880506765,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_linear,heading_date,0.7710226742580029,0.5802172207800044,20.588305802778983,12.85211795586788,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_linear,lodging,0.8391176353497752,0.6986455456442595,0.8689320165994796,0.6271751147908566,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_linear,plant_height,0.7750574765704048,0.6003880379540731,9.059344334226738,6.708792757690783,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_rbf,blumeria_graminis,0.7293312535338877,0.5310263491463185,0.79708876345777,0.6233340618973234,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_rbf,puccinia_hordei,0.7070870023091229,0.4976760925513828,0.8424470755532053,0.6486718422633765,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_rbf,ramularia_collo_cygni,0.3073489450246894,0.0874488299913687,1.0708660410314106,0.8298232604177377,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_rbf,rhynchosporium,0.1689537073280974,0.0134757341215927,0.9090845861517154,0.540561111324855,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_rbf,heading_date,0.7811289864146505,0.6020953451512892,20.04461923697692,11.639806753421423,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_rbf,lodging,0.8662731176032064,0.7503413588828953,0.790897664457907,0.6015024391561473,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,svr_rbf,plant_height,0.7891555067592371,0.6208157409155882,8.824755409433171,6.4684010976644615,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/11_pca50_svr_unificado_nested5x3.ipynb,
PCA50,decision_tree,blumeria_graminis,0.6788036516425163,0.4585627974540364,0.856458871230544,0.6636532636367104,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/21_pca50_tree_unificado_nested5x3.ipynb,
PCA50,decision_tree,puccinia_hordei,0.6052433261400866,0.3482522715341458,0.9596005008396444,0.7396211218693184,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/21_pca50_tree_unificado_nested5x3.ipynb,
PCA50,decision_tree,ramularia_collo_cygni,0.2141412529367533,0.0143838306763016,1.112911021152822,0.8713150914558281,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/21_pca50_tree_unificado_nested5x3.ipynb,
PCA50,decision_tree,rhynchosporium,0.0710007469302048,-0.0157951125421782,0.922472583624028,0.5885467416436441,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/21_pca50_tree_unificado_nested5x3.ipynb,
PCA50,decision_tree,heading_date,0.677979550131043,0.4494156375252873,23.578720658265848,14.902279972169223,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/21_pca50_tree_unificado_nested5x3.ipynb,
PCA50,decision_tree,lodging,0.8084048118788874,0.6485276837611669,0.9384098411836888,0.697344660089945,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/21_pca50_tree_unificado_nested5x3.ipynb,
PCA50,decision_tree,plant_height,0.6903543426812659,0.4643372212649743,10.488738595776647,7.910513687229484,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/outputs_nested5x3/21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3/summary_nested5x3.csv,nested5x3_unificados/21_pca50_tree_unificado_nested5x3.ipynb,
