model,mean_r,median_pearson_r,std_pearson_r,mean_rank_pearson,mean_r2,mean_rmse,mean_mae,n_traits,best_pearson_trait_count
random_forest,0.6356216550509025,0.7317775274792232,0.2543245782522515,1.5714285714285714,0.4543958255950355,4.6876988888879785,3.3018699869784243,7,4
gradient_boosting,0.6269045177506472,0.7225178857031189,0.26681783451189295,2.857142857142857,0.45280349706612205,4.682765481076724,3.208708531367178,7,2
xgboost,0.6219082660064154,0.7126905788938733,0.26134724297013345,4.428571428571429,0.433474535084715,4.743452114453824,3.260438767610412,7,0
elastic_net,0.6217352712381684,0.7275604907832016,0.2530434999765057,4.285714285714286,0.43989828203781756,4.806272538874017,3.440653501834546,7,1
svr_rbf,0.6213255027104131,0.7293312535338877,0.26955061205726133,3.857142857142857,0.4432684929657765,4.754251253866014,3.0503000808779035,7,0
ridge,0.6170003690227277,0.7222022976150219,0.24601994478815956,4.857142857142857,0.43141052662830315,4.8294973897448745,3.4944997154880446,7,0
adaboost,0.5929953332023871,0.7161027178381586,0.27305960476407737,7.142857142857143,0.40448805328528364,5.066308453410622,3.878099637337379,7,0
svr_linear,0.5856363676440836,0.6604393824924182,0.25117413374498054,7.285714285714286,0.3610785887077,4.9271615656471,3.2863631550658323,7,0
decision_tree,0.5351325260486796,0.677979550131043,0.2778451155084212,8.714285714285714,0.3382406185248192,5.551044581724746,3.7676106482991645,7,0
