representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer
pca20,blumeria_graminis,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6766695403001488,1.7252889849728476e-149,0.8585135157783017,0.6644381488686377,0.4559618660366428,165.66431339998962,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}"
pca20,heading_date,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7027383061978627,5.096779452349896e-166,22.84451169580425,13.895181918196116,0.4831706642165162,117.46478509998997,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}"
pca20,lodging,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.807281948341925,5.1487315694750127e-256,0.9390809162527197,0.7091228277958084,0.6480248146860629,125.81820109998807,"{""model__ccp_alpha"": 0.001, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}"
pca20,plant_height,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7133059215222992,3.0229805829717086e-173,10.13974381115392,7.513458536675443,0.4993907030553266,144.46516979997978,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}"
pca20,puccinia_hordei,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6289976743348548,2.623728444866338e-123,0.9286711503822159,0.7206844611745735,0.3895887872553949,134.36545109999133,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}"
pca20,ramularia_collo_cygni,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.2537597170449932,9.019076068571624e-18,1.1148995485694086,0.8694212039630174,0.01085852503178597,122.31573709999793,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}"
pca20,rhynchosporium,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.08736592449731294,0.0035793682252880242,0.9312703021604842,0.57614830053597,-0.0352629963117721,149.9408342000097,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}"
