trait,model,fold,n_train,n_test,pearson_r,rmse,mae,r2,best_params,best_inner_r2
blumeria_graminis,random_forest,1,888,222,0.7195325130475836,0.8338151919696211,0.6414761758692483,0.5099711345567117,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.5372462297764727
blumeria_graminis,random_forest,2,888,222,0.7303649542529083,0.7919110269499863,0.6158379818460198,0.5282125153644043,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.5340862896259931
blumeria_graminis,random_forest,3,888,222,0.7466001623802477,0.8085043895562595,0.6252031718040317,0.5479702937992799,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.5463990876936523
blumeria_graminis,random_forest,4,888,222,0.7489647749415098,0.7408038527897378,0.5922282910977484,0.5589919581427766,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.5264599265255895
blumeria_graminis,random_forest,5,888,222,0.7277966922798107,0.788618106482746,0.5924363299223185,0.5280134919104225,"{""model__max_depth"": 25, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",0.5309989050769336
heading_date,random_forest,1,888,222,0.8540728871176526,16.905817448386383,11.637112370121235,0.7041090458837622,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",0.5544067299510766
heading_date,random_forest,2,888,222,0.7564168756196769,20.632902483173776,13.648291475616846,0.5706035414829638,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.6150882644475081
heading_date,random_forest,3,888,222,0.7438627524955463,21.30737745935839,14.67603412892085,0.5523878846639847,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",0.6011729532765248
heading_date,random_forest,4,888,222,0.754711823592601,21.36052981346225,14.096156874419933,0.5535679717868695,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.6100206461341267
heading_date,random_forest,5,888,222,0.8301802018532338,18.11621123333157,12.669369569951352,0.6748022907203477,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",0.591276099164518
lodging,random_forest,1,888,222,0.8897771664613103,0.7768316972741012,0.608557755394658,0.7887457247600955,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.7349432448932768
lodging,random_forest,2,888,222,0.8570027632442283,0.794611249490485,0.6251659586456619,0.731205473983227,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7602734262902265
lodging,random_forest,3,888,222,0.8767571961330722,0.7673556072713523,0.5751184740909486,0.766321211038572,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",0.7574608446201658
lodging,random_forest,4,888,222,0.8736507346402427,0.7796137653209879,0.5821584880310758,0.7606028333780245,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7476721127937959
lodging,random_forest,5,888,222,0.8664380601030173,0.7456406374085695,0.5636954366105414,0.7506072379638424,"{""model__max_depth"": null, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",0.7497619720274823
plant_height,random_forest,1,888,222,0.8095363450151987,8.446420585041253,6.195658405889877,0.6390909964484373,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",0.5857108760764456
plant_height,random_forest,2,888,222,0.7906596077100205,8.507791955428672,6.515281129245046,0.6177010316696369,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",0.6159272593735045
plant_height,random_forest,3,888,222,0.8109863540186344,8.34678461747868,6.450588555764916,0.6544459437749452,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.5880167794527247
plant_height,random_forest,4,888,222,0.7959642511497308,8.837264902887751,6.596210567781528,0.6200248722551231,"{""model__max_depth"": 25, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.624297006057354
